,places_name,road_address_name,lat,lng,distance,category_group_name
261,CU 청담오션점,서울 강남구 학동로63길 8,127.045047950014,37.5185401817088,148,편의점
262,GS25 청담본점,서울 강남구 도산대로66길 43,127.043872757561,37.5206417632172,265,편의점
263,CU 삼성현대점,서울 강남구 학동로68길 7,127.046857055729,37.5172996973134,230,편의점
264,C라움,서울 강남구 학동로 445,127.049722321324,37.5190717002871,295,편의점
265,CU 영등포마사회점,서울 영등포구 영중로8길 14,126.906782572941,37.5181299622588,291,편의점
266,GS25 영등포씨티점,서울 영등포구 경인로 882,126.91078979763736,37.517606871060096,205,편의점
267,세븐일레븐 영등포메인점,서울 영등포구 경인로 869-1,126.909258311113,37.5175192081097,198,편의점
268,이마트24 영등포점,서울 영등포구 경인로 861,126.90826783926,37.517172457801,267,편의점
269,CU 영등포라이프점,서울 영등포구 신길로 289,126.91213947284804,37.51743669214548,291,편의점
270,GS25 영등포본점,서울 영등포구 경인로 849,126.907114500125,37.5168183631781,270,편의점
271,이마트24 R영등포아자점,서울 영등포구 영중로10길 6,126.906179663372,37.5190304878595,94,편의점
272,세븐일레븐 영등포본점,서울 영등포구 영중로 12,126.90632622069468,37.51761783146501,197,편의점
273,GS25 영등포로타리점,서울 영등포구 영중로 31,126.90498395393138,37.5190691761416,197,편의점
